Time (s),F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,notes,Var Fp1
104,18806.2,24442.9,23498.6,17607.1,20485.3,24496.3,23184.9,17564.5,26180.2,18688.4,34734.5,179906,56421.6,13194.3,62720.1,184307.6,168520.4,22871,18246.1,,8.475
105,14694.1,24526.2,35089.9,32136.3,22044.6,37575.7,39873.8,22919.6,37375.9,18477.6,54514.9,236792.1,54327.8,14578.8,93931.8,278346.8,112840.5,30082.7,22136.9,,11.306
106,11581.1,18135.4,22493.4,17077.3,11462,19884.8,17998.4,7664.1,11615.4,24593.7,46581.8,164912.6,52693.6,14167.7,51357.3,255936.8,192277,14145.4,15676.4,,4.447
107,26003.9,22096.3,20238.5,16279.9,15751.3,16546.5,15908.6,20606.6,15941.7,48420.8,63419.5,173002.7,70552.6,21243.7,77114.3,236740.8,240496.5,14225.3,11621.1,,4.917
108,59130.3,87634.9,89988.1,59418.3,55884.8,77679.8,99402.4,41469.5,54802.7,88635.5,91965.6,148963.4,90385.7,41090.5,91115.6,333522.9,245317.2,59168.1,57514.2,,36.162
109,16607.8,37907.8,41195.5,17313.3,16084.2,145023.1,39405,14004.7,11562,23277.2,31494.3,70912.3,34213.4,9588.9,37810,145961.3,109557.4,11376.3,20152.8,,77.445
110,9939.8,28242.2,22273.3,30139.1,19345.1,27584.1,17484.4,14514.2,21423,25946,12900,60560.1,26875.9,5082.1,14182.7,77269.7,155268.8,17978,6816.7,,12.134
111,26270.6,36779.5,32929.1,26526,32363.4,42308.9,30236.3,29396.2,37983.4,49765.8,66772.8,209031.7,92792.1,23011.5,88079.6,242291,213464.4,30840.7,34145.3,,15.792
112,29025.7,57141.8,41585,34369.7,40893.5,41469.8,41378.4,36480.3,60100.8,55276.8,90457.9,268338.8,103635.2,31267.2,103063.9,256238.9,157623.5,50480.4,43788.9,,11.367
113,25182.8,60776.7,71366.4,32714.3,27799,56130.7,80045.1,13506.4,25065.4,41011.8,62567,171398.3,69908.8,13853.2,66015.4,216709.2,172009.6,24583.8,36098.5,,37.943
114,63846.6,63065.6,81172.2,39332.1,51326,102119.8,117530.9,24723.5,34991.8,14758.6,18916.7,69043.7,23502.3,17301.3,34997.7,73179.3,34272,24521.7,50078.5,,191.666
115,30037.8,37647.6,39158.3,32018.4,25985,41520.6,36386.9,22846.3,35532.7,35430.8,38578.9,76941.7,33206.8,21990.1,54697,136180.3,24036.7,34245,39395.6,,7.068
116,21566.9,32720.8,33041.5,26872.5,30283.8,40595.6,40761.8,49606.1,60879.1,39752,66345.4,322528.1,122175.1,30688.3,126269,258307.2,211532.8,45412.4,30599.4,,22.198
117,20016.9,23751.3,28240.1,28244.7,28359.8,30033.3,28096.9,23024.9,30885.2,18133.8,41199.7,90455.7,25378.5,20723.8,54718,146471.9,34657.3,25403.3,22170.1,,31.538
118,13481.1,18123.9,19361.5,15260.8,17810.3,22685.2,21851.9,26704.9,20696,39868.7,69485.9,174512.4,69485.4,21107.2,88536.4,229166.9,198696.7,16612.8,20340.9,,12.168
119,21639.7,22021,23537.5,25929.9,24032.7,24931.9,28551.1,35028.9,45817,80346,80083.6,396636.3,168627.4,32323.9,119474.7,338197.6,339821.8,47511.1,39829.5,,2.377
120,17827.6,27548.9,29570.3,18561.6,25415.8,30472.5,29097.7,19337.7,35660.3,31795.7,30702.7,176346.1,74733.5,9542.8,46428.7,192054.9,223595.4,22827.9,17648,,2.07
121,16621.1,16394.3,17973.2,13333,16266.3,19704.6,23203.9,19072.3,24473.4,35334.2,32257.2,151222.3,69080.7,21511.3,43330.4,118249.3,176400,19862.9,15259.5,,1.435
122,18258.9,34315,32948.2,23041.2,19012.1,34070.5,38386.8,20213.3,32444.8,24414.3,58896.6,158822.8,60145.2,17650.1,69923.1,196840,143998.7,29312.8,16850.9,,321.549
123,14857.7,16226.5,43970,26623.6,18423.2,30993.7,32829.3,21186.6,30970.2,39678.7,29885.5,120615.2,60202.4,14784.5,50212.9,169458.9,125085.8,26886.4,28597.2,,6.93
124,8183.2,15103.2,18802.8,19592.6,12276.8,20441.6,16838.3,16385.3,22133.6,19621.4,13298.8,30430.4,21018.2,9966.8,17420.6,27407.7,22627.5,18632.7,20315.1,,51.625
125,16217.5,16608.7,20571.7,14321.9,15696.3,23720.8,19438,12898.9,16326.4,19351.1,27243.2,130142,44164.2,12976.1,41069.4,120939.4,123876.3,11719.4,10792.5,,21.258
126,34084.7,35794.6,48981.3,56125.3,34855.7,43771.6,50523.2,38034.3,54191.2,46520,23958.5,86305.9,73827,28231.7,47597.4,101899.3,73018.7,59754.7,57379.3,,2.315
127,38089.3,52921.2,94056.1,44955.2,39848.1,69000.6,88670.3,30304.8,33615.1,32608.2,35560.4,152836.8,65061.2,30511.9,65356.6,186960.3,111422.7,38210.3,49136.4,,250.186
128,12363.7,19486.6,17330.4,11841.7,18419.6,22510.7,18933.8,15684.7,18163,31017.8,34408.1,129419.9,58166.6,13100.3,44106.4,118459.7,175820.8,13099.7,17856.9,,23.19
129,13937.3,21767.8,26738.9,25787.8,17530.1,27032.9,30367.6,17072.2,26220.8,37152.8,81541,150469.9,47957.7,17930.4,82254.9,271142,230113,20749.5,26463.9,,46.122
