Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
94,0.225,7215.7,13157.5,18144.1,15878.0,12514.6,15315.4,18336.1,10781.9,20493.9,21493.9,16820.4,65511.8,26782.2,6745.8,22918.1,58972.2,48842.7,18598.0,19284.2,0.0,28502.8,
95,0.256,5937.4,6286.1,6643.8,6851.3,5737.9,5666.3,5878.9,7179.5,8423.5,16266.6,5561.6,40390.3,22616.3,5957.2,12056.4,16450.6,39477.6,8786.5,13401.5,0.0,23540.8,
96,0.283,5952.7,8089.1,8042.2,11369.5,10003.1,10022.5,10547.0,9547.9,12564.7,21319.0,4424.0,24817.3,28400.5,6241.7,8557.9,7550.0,26294.7,14898.5,17391.7,0.0,21883.7,
97,0.472,40648.2,39132.5,40124.0,46088.8,43181.8,47219.7,46115.6,42309.2,45400.4,51939.7,31466.4,60160.0,53213.3,37333.3,38306.8,29215.8,56649.4,47610.5,49192.2,0.0,65190.7,
98,0.293,7869.3,9702.3,11963.6,12015.6,9599.5,11501.9,10202.6,9334.5,9922.7,22247.5,10473.0,12432.2,22386.8,6423.0,8759.5,11617.7,24324.0,13136.4,15007.1,0.0,19665.0,
99,0.312,12273.6,11890.9,12326.2,12888.7,11559.0,12217.3,11814.9,14294.8,14892.5,22584.2,11792.2,41359.5,21148.2,12188.9,18153.2,30184.3,22015.8,13986.6,20656.8,0.0,27776.2,
100,0.244,9225.4,9387.1,11320.1,13312.6,10510.7,12052.9,13508.1,10038.0,18539.3,20926.2,5534.5,64345.1,38976.0,5963.1,12847.2,26959.4,49895.8,18953.2,17999.2,0.0,18220.0,
101,0.243,7462.3,12536.7,15012.2,14431.8,12957.3,16972.7,17386.9,13426.8,29753.3,24527.2,15031.8,154024.7,59050.1,7342.0,29327.5,83163.7,147840.3,23742.9,15988.1,0.0,23045.2,
102,0.235,9055.3,8880.5,12539.5,13681.7,9621.5,12628.1,13387.2,11908.9,13889.9,21795.2,11604.2,27859.2,23035.8,16705.9,16987.6,19320.1,19485.1,16495.3,19600.7,0.0,28741.8,
103,0.248,16482.0,19291.7,21805.9,30244.3,19933.0,25999.5,28956.1,15932.8,30023.1,44432.3,16596.2,40949.3,51586.6,15345.2,14454.2,21743.8,42632.9,37874.3,39549.4,0.0,49484.5,
104,0.239,8483.5,6366.3,6995.0,8950.0,7942.4,8485.8,8320.1,8113.4,9236.0,20037.4,9261.6,21886.1,16865.5,7863.2,11987.2,38458.2,25028.9,10358.5,19394.4,0.0,24787.0,
105,0.314,17588.4,28185.1,29101.3,28154.0,23595.2,28245.7,26104.8,16773.5,24593.9,12350.6,25415.4,99082.1,18120.2,7103.1,38294.5,202534.1,106980.9,18317.1,19280.6,0.0,21644.9,
106,0.232,15613.4,19765.9,24954.5,27591.4,23587.2,27042.8,29742.7,23461.2,35410.2,37434.8,16064.4,108304.9,50646.3,16057.2,37917.8,115832.5,134413.9,30814.3,30167.1,0.0,36836.0,
107,0.332,15155.4,26851.0,34410.8,34097.0,30195.9,38597.6,40341.4,28434.1,53051.8,62803.4,24101.6,98575.5,84483.4,15124.5,38423.9,89982.2,125382.3,52678.1,48643.9,0.0,45420.2,
108,0.232,9185.6,12734.6,12638.6,12922.0,13658.3,15528.6,14940.2,13427.1,17019.8,30419.8,14636.3,30161.3,25720.6,10701.8,22220.6,57957.5,47996.4,16078.9,19204.3,0.0,10759.9,
109,0.387,17263.9,14531.6,16288.9,20700.6,20756.7,19891.2,20674.3,23247.6,22734.3,22064.8,27767.3,32151.5,21122.5,22613.4,31632.7,55273.7,26619.0,20985.3,28077.4,0.0,81469253.4,
110,0.285,9003.3,13571.0,17911.9,14241.6,9353.3,12156.4,13885.9,9776.7,12529.4,13546.1,15081.2,24046.8,13108.2,13991.7,16369.7,69821.1,21255.9,14663.0,13772.8,0.0,145426863.8,
111,0.352,14688.0,19277.4,23672.1,18472.1,17317.0,18760.5,18622.6,15436.4,19520.7,13366.1,12415.5,53272.7,15731.0,16638.4,16212.0,57077.6,19142.8,16619.1,15852.1,0.0,1286295.0,
